id,title,subtitle,content,html_content,release_date,solved_by_count,difficulty
76,Counting Summations,Problem 76,"
It is possible to write five as a sum in exactly six different ways:
4+13+23+1+12+2+12+1+1+11+1+1+1+1
How many different ways can one hundred be written as a sum of at least two positive integers?
","<p>It is possible to write five as a sum in exactly six different ways:</p>
\begin{align}
&amp;4 + 1\\
&amp;3 + 2\\
&amp;3 + 1 + 1\\
&amp;2 + 2 + 1\\
&amp;2 + 1 + 1 + 1\\
&amp;1 + 1 + 1 + 1 + 1
\end{align}
<p>How many different ways can one hundred be written as a sum of at least two positive integers?</p>

",2004-08-13T18:00:00,31677,10
77,Prime Summations,Problem 77,"
It is possible to write ten as the sum of primes in exactly five different ways:
7+35+55+3+23+3+2+22+2+2+2+2
What is the first value which can be written as the sum of primes in over five thousand different ways?
","<p>It is possible to write ten as the sum of primes in exactly five different ways:</p>
\begin{align}
&amp;7 + 3\\
&amp;5 + 5\\
&amp;5 + 3 + 2\\
&amp;3 + 3 + 2 + 2\\
&amp;2 + 2 + 2 + 2 + 2
\end{align}
<p>What is the first value which can be written as the sum of primes in over five thousand different ways?</p>

",2004-08-27T18:00:00,21652,25
78,Coin Partitions,Problem 78,"
Let p(n) represent the number of different ways in which n coins can be separated into piles. For example, five coins can be separated into piles in exactly seven different ways, so p(5)=7.

OOOOO
OOOO   O
OOO   OO
OOO   O   O
OO   OO   O
OO   O   O   O
O   O   O   O   O

Find the least value of n for which p(n) is divisible by one million.
","<p>Let $p(n)$ represent the number of different ways in which $n$ coins can be separated into piles. For example, five coins can be separated into piles in exactly seven different ways, so $p(5)=7$.</p>
<div class=""margin_left"">
OOOOO<br>
OOOO   O<br>
OOO   OO<br>
OOO   O   O<br>
OO   OO   O<br>
OO   O   O   O<br>
O   O   O   O   O
</div>
<p>Find the least value of $n$ for which $p(n)$ is divisible by one million.</p>

",2004-09-10T18:00:00,19226,30
79,Passcode Derivation,Problem 79,"
A common security method used for online banking is to ask the user for three random characters from a passcode. For example, if the passcode was 531278, they may ask for the 2nd, 3rd, and 5th characters; the expected reply would be: 317.
The text file, keylog.txt, contains fifty successful login attempts.
Given that the three characters are always asked for in order, analyse the file so as to determine the shortest possible secret passcode of unknown length.
","<p>A common security method used for online banking is to ask the user for three random characters from a passcode. For example, if the passcode was 531278, they may ask for the 2nd, 3rd, and 5th characters; the expected reply would be: 317.</p>
<p>The text file, <a href=""https://projecteuler.net/resources/documents/0079_keylog.txt"">keylog.txt</a>, contains fifty successful login attempts.</p>
<p>Given that the three characters are always asked for in order, analyse the file so as to determine the shortest possible secret passcode of unknown length.</p>

",2004-09-17T18:00:00,44465,5
80,Square Root Digital Expansion,Problem 80,"
It is well known that if the square root of a natural number is not an integer, then it is irrational. The decimal expansion of such square roots is infinite without any repeating pattern at all.
The square root of two is 1.41421356237309504880⋯, and the digital sum of the first one hundred decimal digits is 475.
For the first one hundred natural numbers, find the total of the digital sums of the first one hundred decimal digits for all the irrational square roots.
","<p>It is well known that if the square root of a natural number is not an integer, then it is irrational. The decimal expansion of such square roots is infinite without any repeating pattern at all.</p>
<p>The square root of two is $1.41421356237309504880\cdots$, and the digital sum of the first one hundred decimal digits is $475$.</p>
<p>For the first one hundred natural numbers, find the total of the digital sums of the first one hundred decimal digits for all the irrational square roots.</p>

",2004-10-08T18:00:00,22214,20
81,Path Sum: Two Ways,Problem 81,"
In the 5 by 5 matrix below, the minimal path sum from the top left to the bottom right, by only moving to the right and down, is indicated in bold red and is equal to 2427.

(131673234103182019634296515063080374642211153769949712195680573252437331)

Find the minimal path sum from the top left to the bottom right by only moving right and down in matrix.txt (right click and ""Save Link/Target As...""), a 31K text file containing an 80 by 80 matrix.
","<p>In the $5$ by $5$ matrix below, the minimal path sum from the top left to the bottom right, by <b>only moving to the right and down</b>, is indicated in bold red and is equal to $2427$.</p>
<div class=""center"">
$$
\begin{pmatrix}
\color{red}{131} &amp; 673 &amp; 234 &amp; 103 &amp; 18\\
\color{red}{201} &amp; \color{red}{96} &amp; \color{red}{342} &amp; 965 &amp; 150\\
630 &amp; 803 &amp; \color{red}{746} &amp; \color{red}{422} &amp; 111\\
537 &amp; 699 &amp; 497 &amp; \color{red}{121} &amp; 956\\
805 &amp; 732 &amp; 524 &amp; \color{red}{37} &amp; \color{red}{331}
\end{pmatrix}
$$
</div>
<p>Find the minimal path sum from the top left to the bottom right by only moving right and down in <a href=""https://projecteuler.net/resources/documents/0081_matrix.txt"">matrix.txt</a> (right click and ""Save Link/Target As...""), a 31K text file containing an $80$ by $80$ matrix.</p>
",2004-10-22T18:00:00,37787,10
82,Path Sum: Three Ways,Problem 82,"
NOTE: This problem is a more challenging version of Problem 81.
The minimal path sum in the 5 by 5 matrix below, by starting in any cell in the left column and finishing in any cell in the right column, and only moving up, down, and right, is indicated in red and bold; the sum is equal to 994.

(131673234103182019634296515063080374642211153769949712195680573252437331)

Find the minimal path sum from the left column to the right column in matrix.txt (right click and ""Save Link/Target As...""), a 31K text file containing an 80 by 80 matrix.
","<p class=""small_notice"">NOTE: This problem is a more challenging version of <a href=""https://projecteuler.net/problem=81"">Problem 81</a>.</p>
<p>The minimal path sum in the $5$ by $5$ matrix below, by starting in any cell in the left column and finishing in any cell in the right column, and only moving up, down, and right, is indicated in red and bold; the sum is equal to $994$.</p>
<div class=""center"">
$$
\begin{pmatrix}
131 &amp; 673 &amp; \color{red}{234} &amp; \color{red}{103} &amp; \color{red}{18}\\
\color{red}{201} &amp; \color{red}{96} &amp; \color{red}{342} &amp; 965 &amp; 150\\
630 &amp; 803 &amp; 746 &amp; 422 &amp; 111\\
537 &amp; 699 &amp; 497 &amp; 121 &amp; 956\\
805 &amp; 732 &amp; 524 &amp; 37 &amp; 331
\end{pmatrix}
$$
</div>
<p>Find the minimal path sum from the left column to the right column in <a href=""https://projecteuler.net/resources/documents/0082_matrix.txt"">matrix.txt</a> (right click and ""Save Link/Target As...""), a 31K text file containing an $80$ by $80$ matrix.</p>
",2004-11-05T18:00:00,23521,20
83,Path Sum: Four Ways,Problem 83,"
NOTE: This problem is a significantly more challenging version of Problem 81.
In the 5 by 5 matrix below, the minimal path sum from the top left to the bottom right, by moving left, right, up, and down, is indicated in bold red and is equal to 2297.

(131673234103182019634296515063080374642211153769949712195680573252437331)

Find the minimal path sum from the top left to the bottom right by moving left, right, up, and down in matrix.txt (right click and ""Save Link/Target As...""), a 31K text file containing an 80 by 80 matrix.
","<p class=""small_notice"">NOTE: This problem is a significantly more challenging version of <a href=""https://projecteuler.net/problem=81"">Problem 81</a>.</p>
<p>In the $5$ by $5$ matrix below, the minimal path sum from the top left to the bottom right, by moving left, right, up, and down, is indicated in bold red and is equal to $2297$.</p>
<div class=""center"">
$$
\begin{pmatrix}
\color{red}{131} &amp; 673 &amp; \color{red}{234} &amp; \color{red}{103} &amp; \color{red}{18}\\
\color{red}{201} &amp; \color{red}{96} &amp; \color{red}{342} &amp; 965 &amp; \color{red}{150}\\
630 &amp; 803 &amp; 746 &amp; \color{red}{422} &amp; \color{red}{111}\\
537 &amp; 699 &amp; 497 &amp; \color{red}{121} &amp; 956\\
805 &amp; 732 &amp; 524 &amp; \color{red}{37} &amp; \color{red}{331}
\end{pmatrix}
$$
</div>
<p>Find the minimal path sum from the top left to the bottom right by moving left, right, up, and down in <a href=""https://projecteuler.net/resources/documents/0083_matrix.txt"">matrix.txt</a> (right click and ""Save Link/Target As...""), a 31K text file containing an $80$ by $80$ matrix.</p>
",2004-11-19T18:00:00,20428,25
90,Cube Digit Pairs,Problem 90,"
Each of the six faces on a cube has a different digit (0 to 9) written on it; the same is done to a second cube. By placing the two cubes side-by-side in different positions we can form a variety of 2-digit numbers.
For example, the square number 64 could be formed:


In fact, by carefully choosing the digits on both cubes it is possible to display all of the square numbers below one-hundred: 01, 04, 09, 16, 25, 36, 49, 64, and 81.
For example, one way this can be achieved is by placing {0,5,6,7,8,9} on one cube and {1,2,3,4,8,9} on the other cube.
However, for this problem we shall allow the 6 or 9 to be turned upside-down so that an arrangement like {0,5,6,7,8,9} and {1,2,3,4,6,7} allows for all nine square numbers to be displayed; otherwise it would be impossible to obtain 09.
In determining a distinct arrangement we are interested in the digits on each cube, not the order.
{1,2,3,4,5,6} is equivalent to {3,6,4,1,2,5}
{1,2,3,4,5,6} is distinct from {1,2,3,4,5,9}
But because we are allowing 6 and 9 to be reversed, the two distinct sets in the last example both represent the extended set {1,2,3,4,5,6,9} for the purpose of forming 2-digit numbers.
How many distinct arrangements of the two cubes allow for all of the square numbers to be displayed?
","<p>Each of the six faces on a cube has a different digit ($0$ to $9$) written on it; the same is done to a second cube. By placing the two cubes side-by-side in different positions we can form a variety of $2$-digit numbers.</p>

<p>For example, the square number $64$ could be formed:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0090.png?1678992052"" class=""dark_img"" alt=""""><br></div>

<p>In fact, by carefully choosing the digits on both cubes it is possible to display all of the square numbers below one-hundred: $01$, $04$, $09$, $16$, $25$, $36$, $49$, $64$, and $81$.</p>

<p>For example, one way this can be achieved is by placing $\{0, 5, 6, 7, 8, 9\}$ on one cube and $\{1, 2, 3, 4, 8, 9\}$ on the other cube.</p>

<p>However, for this problem we shall allow the $6$ or $9$ to be turned upside-down so that an arrangement like $\{0, 5, 6, 7, 8, 9\}$ and $\{1, 2, 3, 4, 6, 7\}$ allows for all nine square numbers to be displayed; otherwise it would be impossible to obtain $09$.</p>

<p>In determining a distinct arrangement we are interested in the digits on each cube, not the order.</p>

<ul style=""list-style-type:none;""><li>$\{1, 2, 3, 4, 5, 6\}$ is equivalent to $\{3, 6, 4, 1, 2, 5\}$</li>
<li>$\{1, 2, 3, 4, 5, 6\}$ is distinct from $\{1, 2, 3, 4, 5, 9\}$</li></ul>

<p>But because we are allowing $6$ and $9$ to be reversed, the two distinct sets in the last example both represent the extended set $\{1, 2, 3, 4, 5, 6, 9\}$ for the purpose of forming $2$-digit numbers.</p>

<p>How many distinct arrangements of the two cubes allow for all of the square numbers to be displayed?</p>
",2005-03-04T18:00:00,12919,40
91,Right Triangles with Integer Coordinates,Problem 91,"
The points P(x1,y1) and Q(x2,y2) are plotted at integer co-ordinates and are joined to the origin, O(0,0), to form △OPQ.


There are exactly fourteen triangles containing a right angle that can be formed when each co-ordinate lies between 0 and 2 inclusive; that is, 0≤x1,y1,x2,y2≤2.


Given that 0≤x1,y1,x2,y2≤50, how many right triangles can be formed?
","<p>The points $P(x_1, y_1)$ and $Q(x_2, y_2)$ are plotted at integer co-ordinates and are joined to the origin, $O(0,0)$, to form $\triangle OPQ$.</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0091_1.png?1678992052"" class=""dark_img"" alt=""""><br></div>

<p>There are exactly fourteen triangles containing a right angle that can be formed when each co-ordinate lies between $0$ and $2$ inclusive; that is, $0 \le x_1, y_1, x_2, y_2 \le 2$.</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0091_2.png?1678992052"" alt=""""><br></div>

<p>Given that $0 \le x_1, y_1, x_2, y_2 \le 50$, how many right triangles can be formed?</p>
",2005-03-18T18:00:00,17406,25
92,Square Digit Chains,Problem 92,"
A number chain is created by continuously adding the square of the digits in a number to form a new number until it has been seen before.
For example,
44→32→13→10→1→185→89→145→42→20→4→16→37→58→89
Therefore any chain that arrives at 1 or 89 will become stuck in an endless loop. What is most amazing is that EVERY starting number will eventually arrive at 1 or 89.
How many starting numbers below ten million will arrive at 89?
","<p>A number chain is created by continuously adding the square of the digits in a number to form a new number until it has been seen before.</p>
<p>For example,
\begin{align}
&amp;44 \to 32 \to 13 \to 10 \to \mathbf 1 \to \mathbf 1\\
&amp;85 \to \mathbf{89} \to 145 \to 42 \to 20 \to 4 \to 16 \to 37 \to 58 \to \mathbf{89}
\end{align}
</p><p>Therefore any chain that arrives at $1$ or $89$ will become stuck in an endless loop. What is most amazing is that EVERY starting number will eventually arrive at $1$ or $89$.</p>
<p>How many starting numbers below ten million will arrive at $89$?</p>

",2005-04-01T18:00:00,45345,5
93,Arithmetic Expressions,Problem 93,"
By using each of the digits from the set, {1,2,3,4}, exactly once, and making use of the four arithmetic operations (+,−,×,/) and brackets/parentheses, it is possible to form different positive integer targets.
For example,
8=(4×(1+3))/214=4×(3+1/2)19=4×(2+3)−136=3×4×(2+1)
Note that concatenations of the digits, like 12+34, are not allowed.
Using the set, {1,2,3,4}, it is possible to obtain thirty-one different target numbers of which 36 is the maximum, and each of the numbers 1 to 28 can be obtained before encountering the first non-expressible number.
Find the set of four distinct digits, a<b<c<d, for which the longest set of consecutive positive integers, 1 to n, can be obtained, giving your answer as a string: abcd.
","<p>By using each of the digits from the set, $\{1, 2, 3, 4\}$, exactly once, and making use of the four arithmetic operations ($+, -, \times, /$) and brackets/parentheses, it is possible to form different positive integer targets.</p>
<p>For example,</p>
\begin{align}
8 &amp;= (4 \times (1 + 3)) / 2\\
14 &amp;= 4 \times (3 + 1 / 2)\\
19 &amp;= 4 \times (2 + 3) - 1\\
36 &amp;= 3 \times 4 \times (2 + 1)
\end{align}
<p>Note that concatenations of the digits, like $12 + 34$, are not allowed.</p>
<p>Using the set, $\{1, 2, 3, 4\}$, it is possible to obtain thirty-one different target numbers of which $36$ is the maximum, and each of the numbers $1$ to $28$ can be obtained before encountering the first non-expressible number.</p>
<p>Find the set of four distinct digits, $a \lt b \lt c \lt d$, for which the longest set of consecutive positive integers, $1$ to $n$, can be obtained, giving your answer as a string: <i>abcd</i>.</p>

",2005-04-15T18:00:00,13458,35
94,Almost Equilateral Triangles,Problem 94,"
It is easily proved that no equilateral triangle exists with integral length sides and integral area. However, the almost equilateral triangle 5-5-6 has an area of 12 square units.
We shall define an almost equilateral triangle to be a triangle for which two sides are equal and the third differs by no more than one unit.
Find the sum of the perimeters of all almost equilateral triangles with integral side lengths and area and whose perimeters do not exceed one billion (1000000000).
","<p>It is easily proved that no equilateral triangle exists with integral length sides and integral area. However, the <dfn>almost equilateral triangle</dfn> $5$-$5$-$6$ has an area of $12$ square units.</p>
<p>We shall define an <dfn>almost equilateral triangle</dfn> to be a triangle for which two sides are equal and the third differs by no more than one unit.</p>
<p>Find the sum of the perimeters of all <dfn>almost equilateral triangles</dfn> with integral side lengths and area and whose perimeters do not exceed one billion ($1\,000\,000\,000$).</p>

",2005-04-29T18:00:00,14163,35
95,Amicable Chains,Problem 95,"
The proper divisors of a number are all the divisors excluding the number itself. For example, the proper divisors of 28 are 1, 2, 4, 7, and 14. As the sum of these divisors is equal to 28, we call it a perfect number.
Interestingly the sum of the proper divisors of 220 is 284 and the sum of the proper divisors of 284 is 220, forming a chain of two numbers. For this reason, 220 and 284 are called an amicable pair.
Perhaps less well known are longer chains. For example, starting with 12496, we form a chain of five numbers:
12496→14288→15472→14536→14264(→12496→⋯)
Since this chain returns to its starting point, it is called an amicable chain.
Find the smallest member of the longest amicable chain with no element exceeding one million.
","<p>The proper divisors of a number are all the divisors excluding the number itself. For example, the proper divisors of $28$ are $1$, $2$, $4$, $7$, and $14$. As the sum of these divisors is equal to $28$, we call it a perfect number.</p>
<p>Interestingly the sum of the proper divisors of $220$ is $284$ and the sum of the proper divisors of $284$ is $220$, forming a chain of two numbers. For this reason, $220$ and $284$ are called an amicable pair.</p>
<p>Perhaps less well known are longer chains. For example, starting with $12496$, we form a chain of five numbers:
$$12496 \to 14288 \to 15472 \to 14536 \to 14264 (\to 12496 \to \cdots)$$</p>
<p>Since this chain returns to its starting point, it is called an amicable chain.</p>
<p>Find the smallest member of the longest amicable chain with no element exceeding one million.</p>

",2005-05-13T18:00:00,16268,30
96,Su Doku,Problem 96,"
Su Doku (Japanese meaning number place) is the name given to a popular puzzle concept. Its origin is unclear, but credit must be attributed to Leonhard Euler who invented a similar, and much more difficult, puzzle idea called Latin Squares. The objective of Su Doku puzzles, however, is to replace the blanks (or zeros) in a 9 by 9 grid in such that each row, column, and 3 by 3 box contains each of the digits 1 to 9. Below is an example of a typical starting puzzle grid and its solution grid.

     
A well constructed Su Doku puzzle has a unique solution and can be solved by logic, although it may be necessary to employ ""guess and test"" methods in order to eliminate options (there is much contested opinion over this). The complexity of the search determines the difficulty of the puzzle; the example above is considered easy because it can be solved by straight forward direct deduction.
The 6K text file, sudoku.txt (right click and 'Save Link/Target As...'), contains fifty different Su Doku puzzles ranging in difficulty, but all with unique solutions (the first puzzle in the file is the example above).
By solving all fifty puzzles find the sum of the 3-digit numbers found in the top left corner of each solution grid; for example, 483 is the 3-digit number found in the top left corner of the solution grid above.
","<p>Su Doku (Japanese meaning <i>number place</i>) is the name given to a popular puzzle concept. Its origin is unclear, but credit must be attributed to Leonhard Euler who invented a similar, and much more difficult, puzzle idea called Latin Squares. The objective of Su Doku puzzles, however, is to replace the blanks (or zeros) in a 9 by 9 grid in such that each row, column, and 3 by 3 box contains each of the digits 1 to 9. Below is an example of a typical starting puzzle grid and its solution grid.</p>
<div class=""center"">
<img src=""https://projecteuler.net/project/images/p096_1.png"" alt=""p096_1.png"" />     <img src=""https://projecteuler.net/project/images/p096_2.png"" alt=""p096_2.png"" /></div>
<p>A well constructed Su Doku puzzle has a unique solution and can be solved by logic, although it may be necessary to employ ""guess and test"" methods in order to eliminate options (there is much contested opinion over this). The complexity of the search determines the difficulty of the puzzle; the example above is considered <i>easy</i> because it can be solved by straight forward direct deduction.</p>
<p>The 6K text file, <a href=""https://projecteuler.net/project/resources/p096_sudoku.txt"">sudoku.txt</a> (right click and 'Save Link/Target As...'), contains fifty different Su Doku puzzles ranging in difficulty, but all with unique solutions (the first puzzle in the file is the example above).</p>
<p>By solving all fifty puzzles find the sum of the 3-digit numbers found in the top left corner of each solution grid; for example, 483 is the 3-digit number found in the top left corner of the solution grid above.</p>
",2005-05-27T18:00:00,19221,25
97,Large Non-Mersenne Prime,Problem 97,"
The first known prime found to exceed one million digits was discovered in 1999, and is a Mersenne prime of the form 26972593−1; it contains exactly 2098960 digits. Subsequently other Mersenne primes, of the form 2p−1, have been found which contain more digits.
However, in 2004 there was found a massive non-Mersenne prime which contains 2357207 digits: 28433×27830457+1.
Find the last ten digits of this prime number.
","<p>The first known prime found to exceed one million digits was discovered in 1999, and is a Mersenne prime of the form $2^{6972593} - 1$; it contains exactly $2\,098\,960$ digits. Subsequently other Mersenne primes, of the form $2^p - 1$, have been found which contain more digits.</p>
<p>However, in 2004 there was found a massive non-Mersenne prime which contains $2\,357\,207$ digits: $28433 \times 2^{7830457} + 1$.</p>
<p>Find the last ten digits of this prime number.</p>

",2005-06-10T18:00:00,46886,5
98,Anagramic Squares,Problem 98,"
By replacing each of the letters in the word CARE with 1, 2, 9, and 6 respectively, we form a square number: 1296=362. What is remarkable is that, by using the same digital substitutions, the anagram, RACE, also forms a square number: 9216=962. We shall call CARE (and RACE) a square anagram word pair and specify further that leading zeroes are not permitted, neither may a different letter have the same digital value as another letter.
Using words.txt (right click and 'Save Link/Target As...'), a 16K text file containing nearly two-thousand common English words, find all the square anagram word pairs (a palindromic word is NOT considered to be an anagram of itself).
What is the largest square number formed by any member of such a pair?
NOTE: All anagrams formed must be contained in the given text file.
","<p>By replacing each of the letters in the word CARE with $1$, $2$, $9$, and $6$ respectively, we form a square number: $1296 = 36^2$. What is remarkable is that, by using the same digital substitutions, the anagram, RACE, also forms a square number: $9216 = 96^2$. We shall call CARE (and RACE) a square anagram word pair and specify further that leading zeroes are not permitted, neither may a different letter have the same digital value as another letter.</p>
<p>Using <a href=""https://projecteuler.net/resources/documents/0098_words.txt"">words.txt</a> (right click and 'Save Link/Target As...'), a 16K text file containing nearly two-thousand common English words, find all the square anagram word pairs (a palindromic word is NOT considered to be an anagram of itself).</p>
<p>What is the largest square number formed by any member of such a pair?</p>
<p class=""smaller"">NOTE: All anagrams formed must be contained in the given text file.</p>

",2005-06-17T18:00:00,12982,35
99,Largest Exponential,Problem 99,"
Comparing two numbers written in index form like 211 and 37 is not difficult, as any calculator would confirm that 211=2048<37=2187.
However, confirming that 632382518061>519432525806 would be much more difficult, as both numbers contain over three million digits.
Using base_exp.txt (right click and 'Save Link/Target As...'), a 22K text file containing one thousand lines with a base/exponent pair on each line, determine which line number has the greatest numerical value.
NOTE: The first two lines in the file represent the numbers in the example given above.
","<p>Comparing two numbers written in index form like $2^{11}$ and $3^7$ is not difficult, as any calculator would confirm that $2^{11} = 2048 \lt 3^7 = 2187$.</p>
<p>However, confirming that $632382^{518061} \gt 519432^{525806}$ would be much more difficult, as both numbers contain over three million digits.</p>
<p>Using <a href=""https://projecteuler.net/resources/documents/0099_base_exp.txt"">base_exp.txt</a> (right click and 'Save Link/Target As...'), a 22K text file containing one thousand lines with a base/exponent pair on each line, determine which line number has the greatest numerical value.</p>
<p class=""smaller"">NOTE: The first two lines in the file represent the numbers in the example given above.</p>

",2005-07-01T18:00:00,33742,10
100,Arranged Probability,Problem 100,"
If a box contains twenty-one coloured discs, composed of fifteen blue discs and six red discs, and two discs were taken at random, it can be seen that the probability of taking two blue discs, P(BB)=(15/21)×(14/20)=1/2.
The next such arrangement, for which there is exactly 50% chance of taking two blue discs at random, is a box containing eighty-five blue discs and thirty-five red discs.
By finding the first arrangement to contain over 1012=1000000000000 discs in total, determine the number of blue discs that the box would contain.
","<p>If a box contains twenty-one coloured discs, composed of fifteen blue discs and six red discs, and two discs were taken at random, it can be seen that the probability of taking two blue discs, $P(\text{BB}) = (15/21) \times (14/20) = 1/2$.</p>
<p>The next such arrangement, for which there is exactly $50\%$ chance of taking two blue discs at random, is a box containing eighty-five blue discs and thirty-five red discs.</p>
<p>By finding the first arrangement to contain over $10^{12} = 1\,000\,000\,000\,000$ discs in total, determine the number of blue discs that the box would contain.</p>

",2005-07-15T18:00:00,18480,30
101,Optimum Polynomial,Problem 101,"
If we are presented with the first k terms of a sequence it is impossible to say with certainty the value of the next term, as there are infinitely many polynomial functions that can model the sequence.
As an example, let us consider the sequence of cube numbers. This is defined by the generating function,un=n3: 1,8,27,64,125,216,…
Suppose we were only given the first two terms of this sequence. Working on the principle that ""simple is best"" we should assume a linear relationship and predict the next term to be 15 (common difference 7). Even if we were presented with the first three terms, by the same principle of simplicity, a quadratic relationship should be assumed.
We shall define OP(k,n) to be the nth term of the optimum polynomial generating function for the first k terms of a sequence. It should be clear that OP(k,n) will accurately generate the terms of the sequence for n≤k, and potentially the first incorrect term (FIT) will be OP(k,k+1); in which case we shall call it a bad OP (BOP).
As a basis, if we were only given the first term of sequence, it would be most sensible to assume constancy; that is, for n≥2, OP(1,n)=u1.
Hence we obtain the following OPs for the cubic sequence:

OP(1,n)=1
1,1,1,1,…
OP(2,n)=7n−6
1,8,15,…
OP(3,n)=6n2−11n+6     
1,8,27,58,…
OP(4,n)=n3
1,8,27,64,125,…

Clearly no BOPs exist for k≥4.
By considering the sum of FITs generated by the BOPs (indicated in red above), we obtain 1+15+58=74.
Consider the following tenth degree polynomial generating function:
un=1−n+n2−n3+n4−n5+n6−n7+n8−n9+n10.
Find the sum of FITs for the BOPs.
","<p>If we are presented with the first $k$ terms of a sequence it is impossible to say with certainty the value of the next term, as there are infinitely many polynomial functions that can model the sequence.</p>
<p>As an example, let us consider the sequence of cube numbers. This is defined by the generating function,<br>$u_n = n^3$: $1, 8, 27, 64, 125, 216, \dots$</p>
<p>Suppose we were only given the first two terms of this sequence. Working on the principle that ""simple is best"" we should assume a linear relationship and predict the next term to be $15$ (common difference $7$). Even if we were presented with the first three terms, by the same principle of simplicity, a quadratic relationship should be assumed.</p>
<p>We shall define $\operatorname{OP}(k, n)$ to be the $n$<sup>th</sup> term of the optimum polynomial generating function for the first $k$ terms of a sequence. It should be clear that $\operatorname{OP}(k, n)$ will accurately generate the terms of the sequence for $n \le k$, and potentially the <dfn>first incorrect term</dfn> (FIT) will be $\operatorname{OP}(k, k+1)$; in which case we shall call it a <dfn>bad OP</dfn> (BOP).</p>
<p>As a basis, if we were only given the first term of sequence, it would be most sensible to assume constancy; that is, for $n \ge 2$, $\operatorname{OP}(1, n) = u_1$.</p>
<p>Hence we obtain the following $\operatorname{OP}$s for the cubic sequence:</p>
<div class=""margin_left"">
<table><tr><td>$\operatorname{OP}(1, n) = 1$</td>
<td>$1, {\color{red}\mathbf 1}, 1, 1, \dots$</td>
</tr><tr><td>$\operatorname{OP}(2, n) = 7n - 6$</td>
<td>$1, 8, {\color{red}\mathbf{15}}, \dots$</td>
</tr><tr><td>$\operatorname{OP}(3, n) = 6n^2 - 11n + 6$     </td>
<td>$1, 8, 27, {\color{red}\mathbf{58}}, \dots$</td>
</tr><tr><td>$\operatorname{OP}(4, n) = n^3$</td>
<td>$1, 8, 27, 64, 125, \dots$</td>
</tr></table></div>
<p>Clearly no BOPs exist for $k \ge 4$.</p>
<p>By considering the sum of FITs generated by the BOPs (indicated in <span class=""red""><b>red</b></span> above), we obtain $1 + 15 + 58 = 74$.</p>
<p>Consider the following tenth degree polynomial generating function:
$$u_n = 1 - n + n^2 - n^3 + n^4 - n^5 + n^6 - n^7 + n^8 - n^9 + n^{10}.$$</p>
<p>Find the sum of FITs for the BOPs.</p>

",2005-07-29T18:00:00,13119,35
102,Triangle Containment,Problem 102,"
Three distinct points are plotted at random on a Cartesian plane, for which −1000≤x,y≤1000, such that a triangle is formed.
Consider the following two triangles:
A(−340,495),B(−153,−910),C(835,−947)X(−175,41),Y(−421,−714),Z(574,−645)
It can be verified that triangle ABC contains the origin, whereas triangle XYZ does not.
Using triangles.txt (right click and 'Save Link/Target As...'), a 27K text file containing the co-ordinates of one thousand ""random"" triangles, find the number of triangles for which the interior contains the origin.
NOTE: The first two examples in the file represent the triangles in the example given above.
","<p>Three distinct points are plotted at random on a Cartesian plane, for which $-1000 \le x, y \le 1000$, such that a triangle is formed.</p>
<p>Consider the following two triangles:</p>
\begin{gather}
A(-340,495), B(-153,-910), C(835,-947)\\
X(-175,41), Y(-421,-714), Z(574,-645)
\end{gather}
<p>It can be verified that triangle $ABC$ contains the origin, whereas triangle $XYZ$ does not.</p>
<p>Using <a href=""https://projecteuler.net/resources/documents/0102_triangles.txt"">triangles.txt</a> (right click and 'Save Link/Target As...'), a 27K text file containing the co-ordinates of one thousand ""random"" triangles, find the number of triangles for which the interior contains the origin.</p>
<p class=""smaller"">NOTE: The first two examples in the file represent the triangles in the example given above.</p>

",2005-08-12T18:00:00,24230,15
